NAME,WARD,HasData,TOTPOP_CY,HHPOP_CY,FAMPOP_CY,POPDENS_CY,POPGRW10CY,TOTPOP,TOTHH,AVGHHSZ
A Mountain,1,1,3448,3440,2843,3900.0,0.34,3448,1103,3.12
Adelanto,3,1,389,369,316,8881.3,0.46,389,117,3.15
Aldea Linda,6,1,222,210,159,2799.5,0.05,222,88,2.39
Alvernon Heights,5,1,320,320,272,4071.2,0.56,320,99,3.23
Amphi,3,1,7464,7251,4864,7482.7,0.0,7464,3105,2.34
Arcadia Rose,6,1,389,363,230,6264.1,0.54,389,209,1.74
Armory Park,6,1,1924,1867,754,6204.5,0.64,1924,1223,1.53
Arroyo Chico,5,1,3009,2948,2008,3973.9,0.34,3009,1244,2.37
Avondale,6,1,1636,1604,914,6510.1,0.78,1636,818,1.96
Balboa Heights,3,1,1546,1546,968,8574.6,1.37,1546,728,2.12
Barrio Anita,1,1,372,368,249,3031.8,-0.48,372,125,2.94
Barrio Blue Moon,3,1,956,954,443,7445.5,-0.53,956,658,1.45
Barrio Centro,5,1,1116,1008,811,4888.3,0.35,1116,402,2.51
Barrio Hollywood,1,1,2611,2603,2172,5391.3,-1.13,2611,859,3.03
Barrio Kroeger Lane,1,1,268,80,61,3138.2,0.37,268,102,1.0
Barrio Nopal,1,1,6018,6018,5299,6200.9,0.7,6018,1745,3.45
Barrio San Antonio,5,1,345,323,164,1907.1,0.38,345,143,2.26
Barrio Santa Cruz,1,1,214,145,105,1363.1,0.68,214,64,2.27
Barrio Santa Rosa,5,1,1156,1147,874,4969.9,1.12,1156,380,3.02
Barrio Viejo,6,1,822,813,405,4172.6,0.67,822,456,1.78
Bear Canyon,2,1,2551,2549,2111,1598.7,0.0,2551,1137,2.24
Blenman-Elm,6,1,3233,3103,1666,4456.2,0.37,3233,1588,1.95
Bonanza,2,1,5123,5103,3796,5100.0,0.16,5123,2319,2.2
Bravo Park Lane,5,1,3611,3598,3035,6097.6,1.08,3611,1129,3.19
Brichta,1,1,491,482,368,2726.3,0.54,491,199,2.42
Broadmoor-Broadway,6,1,875,869,577,3479.1,0.37,875,394,2.21
Broadway Pantano East,2,1,5698,5672,4081,5712.9,0.74,5698,2530,2.24
Broadway/Northeast,2,1,692,682,517,1315.3,0.24,692,276,2.47
Cabrini,3,1,2069,2069,1228,8400.3,0.44,2069,961,2.15
Campbell-Grant,3,1,1293,1293,680,5128.9,0.37,1293,674,1.92
Campus Farm,3,1,7696,7686,4093,6896.7,1.12,7696,3319,2.32
Carriage Park,2,1,7262,7223,4440,7255.5,0.47,7262,3827,1.89
Catalina Vista,6,1,696,690,383,2979.5,-0.12,696,301,2.29
Catalina Vista/Blenman-Elm,6,1,90,86,50,2752.3,0.37,90,41,2.1
Cherry Avenue,5,1,10092,10090,8853,8087.2,0.71,10092,3051,3.31
Colonia Del Valle,6,1,2459,2452,1866,4399.7,1.19,2459,1047,2.34
Colonia Solana,6,1,284,284,203,1126.5,0.43,284,129,2.2
Copper Vista,5,1,2401,2394,2109,9933.8,0.31,2401,714,3.35
Corbett,4,1,6564,6541,5119,6455.5,0.67,6564,2415,2.71
Coronado Heights,3,1,1611,1611,1064,9226.8,-0.28,1611,682,2.36
Cottonwood Manor,3,1,310,310,218,7616.7,-0.07,310,102,3.04
Country Glenn,3,1,1448,1446,854,5764.3,0.21,1448,703,2.06
Desert Aire/Loma Linda,6,1,470,445,338,2548.8,0.05,470,178,2.5
Desert Palms Park,2,1,352,348,284,3950.6,1.24,352,153,2.27
Dietz,4,1,7888,7863,6156,5395.3,0.73,7888,3221,2.44
Dodge Flower,3,1,3096,3012,1877,13146.5,0.96,3096,1309,2.3
Doolen-Fruitvale,3,1,1861,1855,1190,7461.9,-0.03,1861,795,2.33
Downtown,1,1,152,141,25,448.2,2.41,152,111,1.27
Drexel Park,5,1,2429,2429,2038,10305.5,0.91,2429,744,3.26
Duffy,6,1,1207,1188,762,4816.4,0.82,1207,615,1.93
Dunbar Spring,1,1,1096,997,410,4538.3,0.03,1096,446,2.24
Eastside,2,1,4110,4096,3491,4118.2,-0.16,4110,1606,2.55
El Conquistador,6,1,170,169,114,2916.0,-0.44,170,62,2.73
El Cortez,3,1,463,461,316,6759.1,-0.48,463,174,2.65
El Encanto Estates,6,1,333,332,180,1750.8,0.2,333,147,2.26
El Gheko,2,1,1804,1738,1240,4232.8,0.02,1804,839,2.07
El Montevideo,6,1,337,337,242,2592.3,0.39,337,172,1.97
El Presidio,1,1,691,690,393,3648.4,0.6,691,403,1.71
El Rio Acres,1,1,1986,1933,1612,2110.7,0.13,1986,592,3.27
Elvira,1,1,3284,3284,2960,5952.5,0.17,3284,901,3.64
Enchanted Hills,1,1,1547,1547,1279,6480.9,0.19,1547,538,2.88
Fairgrounds,5,1,2284,2222,1884,3246.2,0.42,2284,689,3.22
Feldman`s,3,1,2524,2279,605,7375.8,0.57,2524,1203,1.89
Flowing Wells,1,1,9238,9203,6693,2176.8,0.46,9238,3825,2.41
Garden District,6,1,6641,6478,4040,6678.4,0.14,6641,2989,2.17
Glenn Heights,2,1,600,445,259,6410.3,0.39,600,315,1.41
Groves Lincoln Park,4,1,5294,5275,4373,2677.3,-0.03,5294,1904,2.77
Harlan Heights,6,1,1505,1297,796,4678.3,-0.1,1505,644,2.01
Harold Bell Wright Estates,2,1,979,913,591,4067.3,1.97,979,483,1.89
Hedrick Acres,3,1,3875,3787,1796,7723.7,1.02,3875,1901,1.99
Highland Vista Cinco Via,6,1,843,832,607,3354.6,0.13,843,332,2.51
Houghton East,2,1,4348,4337,3768,1467.4,0.25,4348,1787,2.43
Houghton South,4,1,4804,4804,4083,1449.0,5.94,4804,1772,2.71
Iron Horse,6,1,594,573,141,5641.0,0.11,594,351,1.63
Ironwood Ridge,1,1,161,158,121,2927.3,0.55,161,59,2.68
Jefferson Park,3,1,2263,2209,781,5208.3,-0.05,2263,934,2.37
Julia Keen,5,1,5430,5426,4222,6056.2,0.3,5430,2113,2.57
Keeling,3,1,4763,4755,3210,7431.7,0.13,4763,1899,2.5
La Madera,3,1,1065,1062,604,4278.8,0.08,1065,566,1.88
Lakeside Park,4,1,5647,5643,4416,6137.4,0.54,5647,2218,2.54
Las Vistas,5,1,3255,3172,2735,3030.4,0.14,3255,903,3.51
Limberlost,3,1,3799,3790,2272,7542.2,0.82,3799,1931,1.96
Loma Verde,6,1,488,480,349,4939.3,-0.26,488,233,2.06
Menlo Park,1,1,4867,4504,2987,2168.9,0.79,4867,2188,2.06
Mesquite Ranch,4,1,1829,1829,1555,1465.2,-0.14,1829,577,3.17
Midvale Park,1,1,14565,14554,12432,3840.8,0.72,14565,4602,3.16
Miles,5,1,871,870,449,4836.2,0.55,871,367,2.37
Millville,5,1,255,182,118,540.3,0.0,255,114,1.6
Miracle Manor,3,1,3538,3420,2356,9603.7,1.24,3538,1396,2.45
