X,Y,Wattage,Status
993079.897637796,449802.116469815,12.0,Active
993900.216535434,449338.122703411,12.0,Active
994240.267716534,449281.829396322,12.0,Active
994235.994094487,449345.341535434,12.0,Active
994358.480643045,449342.544947505,12.0,Active
994504.190616798,449284.015748031,12.0,Active
994498.88976378,449348.239173226,12.0,Active
992968.530839894,445458.193569556,12.0,Active
993112.226706035,445461.34186352,12.0,Active
993246.729330707,445524.884842522,12.0,Active
993455.805446193,445528.197178476,12.0,Active
990171.825131234,445386.191272967,12.0,Active
990385.577427823,445417.165026248,12.0,Active
990469.340879265,445529.22834646,12.0,Active
993377.436679792,445464.766404197,12.0,Active
994086.29035433,450291.546916008,12.0,Active
994072.018700786,447118.045603678,12.0,Active
993708.399606299,443949.540354334,12.0,Active
993651.70570866,444033.527559057,12.0,Active
993695.52395013,444598.012139104,12.0,Active
993693.06594488,444739.63976378,12.0,Active
993632.270669293,444979.905839898,12.0,Active
993693.197178479,444899.754593179,12.0,Active
993651.08300525,444870.552493438,12.0,Active
993637.032152232,444672.062007874,12.0,Active
993634.231955379,444824.481299214,12.0,Active
992878.671259843,444227.95013123,12.0,Active
992875.8585958,444319.005905509,12.0,Active
994011.196850393,450704.919947505,12.0,Active
994082.031824145,450423.215551183,12.0,Active
994024.45406824,450290.271981627,12.0,Active
994188.605643045,443918.958661415,12.0,Active
994181.424868766,444122.21686352,12.0,Active
993995.668635171,452879.038385823,12.0,Active
990121.841207348,449698.460629918,12.0,Active
992556.123031497,444317.717847772,12.0,Active
994609.184711285,447923.650918633,12.0,Active
992603.123031497,449730.331364833,12.0,Active
992605.147309713,449788.387139104,12.0,Active
992668.543307088,449788.218175851,12.0,Active
992666.261154857,449731.346128605,12.0,Active
992807.510170605,449743.327755906,12.0,Active
994138.286417324,446713.749015749,12.0,Active
992809.540026248,449790.188320212,12.0,Active
993769.354002625,449273.658464566,12.0,Active
993635.610892389,449204.043307088,12.0,Active
993630.895013124,449174.284120739,12.0,Active
993633.672900263,449235.395669289,12.0,Active
993850.949146982,445472.333989501,12.0,Active
994031.38582677,445474.275590554,12.0,Active
993902.868110236,446965.61811024,12.0,Active
993755.091207348,446959.581364833,12.0,Active
993163.816272967,444046.203412071,12.0,Active
993163.816272967,444046.203412071,12.0,Active
993163.816272967,444046.203412071,12.0,Active
992939.018044621,444048.248687662,12.0,Active
992939.018044621,444048.248687662,12.0,Active
992898.835958004,444045.973425195,12.0,Active
992898.835958004,444045.973425195,12.0,Active
996327.906496063,449373.078083992,12.0,Active
992535.45406824,445412.686679788,12.0,Active
992535.45406824,445412.686679788,12.0,Active
992796.458661418,445597.546916008,12.0,Active
992802.640748031,445602.142060369,12.0,Active
993388.697506562,445792.652887136,12.0,Active
996460.965223096,449439.034448817,12.0,Active
996499.411745407,449313.492454067,12.0,Active
996485.664041996,449311.619750656,12.0,Active
996827.677165356,449794.606299214,12.0,Active
992891.322834644,445029.643372707,12.0,Active
993850.949146982,445472.333989501,12.0,Active
994031.38582677,445474.275590554,12.0,Active
994031.38582677,445474.275590554,12.0,Active
992891.322834644,445029.643372707,12.0,Active
992923.399606299,444976.362860896,12.0,Active
992839.259514436,445010.825787403,12.0,Active
992839.259514436,445010.825787403,12.0,Active
993163.501968503,444080.451443568,12.0,Active
992571.562007874,446179.895669289,12.0,Active
992440.511154857,446092.238188975,12.0,Active
992783.591535434,445669.260498688,12.0,Active
992795.385170605,445676.186351709,12.0,Active
993304.383202098,445829.266404197,12.0,Active
993304.62335958,445825.554133855,12.0,Active
993308.386482939,445827.402559057,12.0,Active
992898.835958004,444045.973425195,12.0,Active
993205.313648295,446150.103674538,12.0,Active
993205.296587925,446032.205052495,12.0,Active
992853.241797902,446249.267060369,12.0,Active
992571.562007874,446179.895669289,12.0,Active
992440.511154857,446092.238188975,12.0,Active
992858.570866141,445710.94652231,12.0,Active
992858.570866141,445710.94652231,12.0,Active
992802.640748031,445602.142060369,12.0,Active
993328.18175853,445827.21358268,12.0,Active
992795.385170605,445676.186351709,12.0,Active
992972.635170605,445805.11023622,12.0,Active
993308.386482939,445827.402559057,12.0,Active
993389.146325458,445788.734908134,12.0,Active
994036.575459316,449423.734251969,12.0,Active
994047.440616798,448873.38976378,12.0,Active
994048.773622047,448860.802165352,12.0,Active
994049.116469815,448786.420275591,12.0,Active
993196.572506562,446441.463910758,12.0,Active
993196.572506562,446441.463910758,12.0,Active
993131.947834644,446486.594160102,12.0,Active
992856.277559057,446250.454396322,12.0,Active
992571.562007874,446179.895669289,12.0,Active
993021.204724409,443628.606627293,12.0,Active
993127.317913387,443637.139107615,12.0,Active
993127.414041996,443626.24311024,12.0,Active
996790.848425198,449698.499015749,12.0,Active
996760.992782153,450334.050853021,12.0,Active
996777.484908137,450335.02034121,12.0,Active
996778.442257218,450320.996062994,12.0,Active
993328.18175853,445827.21358268,12.0,Active
993392.215879265,445790.668635167,12.0,Active
993206.975393701,446046.274606302,12.0,Active
993135.312664043,446034.734580055,12.0,Active
993135.156496063,446028.952099741,12.0,Active
992796.214895014,445601.674212597,12.0,Active
992972.635170605,445805.11023622,12.0,Active
992972.635170605,445805.11023622,12.0,Active
992972.635170605,445805.11023622,12.0,Active
993328.18175853,445827.21358268,12.0,Active
993328.18175853,445827.21358268,12.0,Active
993024.450459316,443636.890419945,12.0,Active
994117.269028872,449002.668635167,12.0,Active
994108.304790027,448877.537729658,12.0,Active
994108.304790027,448877.537729658,12.0,Active
993392.215879265,445790.668635167,12.0,Active
996215.971784778,449384.162401572,12.0,Active
996215.971784778,449384.162401572,12.0,Active
996101.134842519,449305.191601053,12.0,Active
996110.277230971,449308.53313648,12.0,Active
996300.616469815,449305.733595803,12.0,Active
996406.137795277,449378.491469815,12.0,Active
996416.50164042,449309.4488189,12.0,Active
996420.710958004,449312.859251969,12.0,Active
996531.901246719,449390.758202098,12.0,Active
996532.411417324,449380.02952756,12.0,Active
996547.171259843,449384.571194224,12.0,Active
994134.488845143,446968.031496063,12.0,Active
994110.495734908,448652.787073493,12.0,Active
994123.247703411,448327.462270342,12.0,Active
994036.575459316,449423.734251969,12.0,Active
994036.575459316,449423.734251969,12.0,Active
994042.40452756,449230.232283466,12.0,Active
994042.40452756,449230.232283466,12.0,Active
994042.859251969,449196.331036747,12.0,Active
994043.922900263,449123.66929134,12.0,Active
994043.922900263,449123.66929134,12.0,Active
994043.922900263,449123.66929134,12.0,Active
994045.386482939,449001.341207348,12.0,Active
994045.386482939,449001.341207348,12.0,Active
994045.386482939,449001.341207348,12.0,Active
994029.230971128,448936.367454067,12.0,Active
994047.857611548,448933.174212597,12.0,Active
994138.286417324,446713.749015749,12.0,Active
994065.360564303,446573.629593179,12.0,Active
994064.82906824,446586.835629918,12.0,Active
994116.071194224,448786.583661415,12.0,Active
994111.744750656,448403.437007874,12.0,Active
994103.807742782,448180.761811025,12.0,Active
994116.462598424,448180.051509187,12.0,Active
994121.517388452,447849.474081367,12.0,Active
994124.932742782,447788.551837273,12.0,Active
994069.682414699,447449.749343835,12.0,Active
994059.393044621,447458.866797902,12.0,Active
994059.480643045,447448.960629918,12.0,Active
994068.131561682,447372.02165354,12.0,Active
994068.131561682,447372.02165354,12.0,Active
994073.564960629,447037.71128609,12.0,Active
994125.308727033,446972.716535434,12.0,Active
993646.193897638,446203.518044621,12.0,Active
993587.284120735,446255.544947505,12.0,Active
993587.284120735,446255.544947505,12.0,Active
994102.832677167,448197.263779528,12.0,Active
994118.073818896,448063.738845147,12.0,Active
994057.115813646,447927.85465879,12.0,Active
994057.115813646,447927.85465879,12.0,Active
994124.932742782,447788.551837273,12.0,Active
994112.888779528,447717.109580055,12.0,Active
994112.187664043,447702.655511811,12.0,Active
994127.951115485,446882.422900259,12.0,Active
994079.936023623,446807.100065619,12.0,Active
994139.539698161,446816.723425195,12.0,Active
994139.539698161,446816.723425195,12.0,Active
994139.539698161,446816.723425195,12.0,Active
994076.112532809,446889.655511811,12.0,Active
992500.385498688,445775.893044621,12.0,Active
992941.493110236,449744.65813648,12.0,Active
994079.755905513,446587.378937006,12.0,Active
994142.32906824,446571.527887136,12.0,Active
994142.32906824,446571.527887136,12.0,Active
994146.013779528,446497.666666664,12.0,Active
993902.868110236,446965.61811024,12.0,Active
993755.091207348,446959.581364833,12.0,Active
993744.903215222,446954.775918633,12.0,Active
993810.401574802,446911.60104987,12.0,Active
993635.610892389,449204.043307088,12.0,Active
993623.623687662,449179.288057745,12.0,Active
993677.761482939,446082.452755906,12.0,Active
993766.982283466,446083.441601053,12.0,Active
993766.982283466,446083.441601053,12.0,Active
992942.532480314,449788.086614177,12.0,Active
993282.931430448,449751.237204723,12.0,Active
993283.507874016,449798.023293965,12.0,Active
993413.384186354,449753.113188975,12.0,Active
993416.177165356,449800.999671914,12.0,Active
993554.622047246,449752.309383199,12.0,Active
991939.310367454,446930.696194224,12.0,Active
992077.424212597,446928.137467191,12.0,Active
993587.284120735,446255.544947505,12.0,Active
993288.314960629,445150.319553807,12.0,Active
993291.008530185,445127.229330711,12.0,Active
993264.472112861,445126.16929134,12.0,Active
994184.078083988,449337.29199475,12.0,Active
994187.549212597,449342.026902884,12.0,Active
994187.308070865,449338.528543308,12.0,Active
992663.337270342,445786.889107615,12.0,Active
994041.91535433,449393.412401572,12.0,Active
992172.005905513,447663.65452756,12.0,Active
992170.930774279,447647.363517061,12.0,Active
992216.025918636,447660.145013124,12.0,Active
992216.025918636,447660.145013124,12.0,Active
993553.032480314,449806.203740157,12.0,Active
993616.38582677,449754.910761155,12.0,Active
992585.762467191,444123.461942255,12.0,Active
993056.787073489,444081.358595803,12.0,Active
